is_reclamation,theme,sentiment,urgence,type_incident,confidence,justification
NON,AUTRE,NEUTRE,FAIBLE,AUTRE,0.5,Tweet informatif ou neutre
NON,FIBRE,NEUTRE,FAIBLE,PANNE,0.6,Tweet informatif ou neutre | Thème FIBRE identifié
NON,FIBRE,NEUTRE,FAIBLE,PANNE,0.6,Tweet informatif ou neutre | Thème FIBRE identifié
NON,FIBRE,POSITIF,FAIBLE,PANNE,0.7,Tweet informatif ou neutre | Thème FIBRE identifié | Sentiment POSITIF détecté
NON,AUTRE,NEUTRE,FAIBLE,AUTRE,0.5,Tweet informatif ou neutre
NON,FACTURE,NEUTRE,MOYENNE,AUTRE,0.6,Tweet informatif ou neutre | Thème FACTURE identifié
NON,FIBRE,NEUTRE,FAIBLE,FACTURATION,0.65,Tweet informatif ou neutre | Thème FIBRE identifié
NON,FIBRE,POSITIF,MOYENNE,PANNE,0.7,Tweet informatif ou neutre | Thème FIBRE identifié | Sentiment POSITIF détecté
NON,FIBRE,NEUTRE,FAIBLE,PANNE,0.65,Tweet informatif ou neutre | Thème FIBRE identifié
NON,AUTRE,NEUTRE,FAIBLE,AUTRE,0.5,Tweet informatif ou neutre
NON,FIBRE,NEUTRE,FAIBLE,PANNE,0.6,Tweet informatif ou neutre | Thème FIBRE identifié
NON,FACTURE,NEUTRE,FAIBLE,FACTURATION,0.6,Tweet informatif ou neutre | Thème FACTURE identifié
NON,FIBRE,NEUTRE,FAIBLE,PANNE,0.6,Tweet informatif ou neutre | Thème FIBRE identifié
NON,SAV,NEUTRE,MOYENNE,AUTRE,0.6,Tweet informatif ou neutre | Thème SAV identifié
NON,AUTRE,NEUTRE,FAIBLE,AUTRE,0.5,Tweet informatif ou neutre
NON,MOBILE,NEUTRE,FAIBLE,PANNE,0.6,Tweet informatif ou neutre | Thème MOBILE identifié
NON,FIBRE,NEUTRE,FAIBLE,PANNE,0.6,Tweet informatif ou neutre | Thème FIBRE identifié
NON,AUTRE,NEUTRE,FAIBLE,AUTRE,0.5,Tweet informatif ou neutre
NON,FIBRE,NEUTRE,FAIBLE,PROCESSUS_SAV,0.6,Tweet informatif ou neutre | Thème FIBRE identifié
NON,FIBRE,NEUTRE,MOYENNE,PANNE,0.6,Tweet informatif ou neutre | Thème FIBRE identifié
NON,FIBRE,POSITIF,CRITIQUE,PANNE,0.7,Tweet informatif ou neutre | Thème FIBRE identifié | Sentiment POSITIF détecté | Urgence CRITIQUE détectée
NON,FIBRE,NEUTRE,FAIBLE,PANNE,0.65,Tweet informatif ou neutre | Thème FIBRE identifié
NON,FIBRE,NEUTRE,FAIBLE,PROCESSUS_SAV,0.6,Tweet informatif ou neutre | Thème FIBRE identifié
NON,FIBRE,NEUTRE,FAIBLE,PANNE,0.6,Tweet informatif ou neutre | Thème FIBRE identifié
NON,TV,NEUTRE,FAIBLE,PANNE,0.6,Tweet informatif ou neutre | Thème TV identifié
NON,AUTRE,POSITIF,FAIBLE,AUTRE,0.6,Tweet informatif ou neutre | Sentiment POSITIF détecté
NON,FIBRE,NEUTRE,FAIBLE,PANNE,0.6,Tweet informatif ou neutre | Thème FIBRE identifié
NON,RESEAU,NEUTRE,FAIBLE,AUTRE,0.6,Tweet informatif ou neutre | Thème RESEAU identifié
NON,SAV,NEUTRE,MOYENNE,PROCESSUS_SAV,0.6,Tweet informatif ou neutre | Thème SAV identifié
NON,FIBRE,NEUTRE,FAIBLE,PANNE,0.65,Tweet informatif ou neutre | Thème FIBRE identifié
NON,AUTRE,NEUTRE,FAIBLE,AUTRE,0.5,Tweet informatif ou neutre
NON,FIBRE,NEUTRE,MOYENNE,PANNE,0.6,Tweet informatif ou neutre | Thème FIBRE identifié
NON,FIBRE,NEUTRE,FAIBLE,PANNE,0.6,Tweet informatif ou neutre | Thème FIBRE identifié
NON,AUTRE,NEUTRE,FAIBLE,AUTRE,0.5,Tweet informatif ou neutre
NON,FIBRE,NEUTRE,MOYENNE,PANNE,0.6,Tweet informatif ou neutre | Thème FIBRE identifié
NON,FIBRE,NEUTRE,FAIBLE,PROCESSUS_SAV,0.6,Tweet informatif ou neutre | Thème FIBRE identifié
NON,FIBRE,NEUTRE,FAIBLE,LENTEUR,0.6,Tweet informatif ou neutre | Thème FIBRE identifié
NON,FIBRE,NEUTRE,FAIBLE,PANNE,0.65,Tweet informatif ou neutre | Thème FIBRE identifié
NON,AUTRE,NEUTRE,FAIBLE,PANNE,0.55,Tweet informatif ou neutre
NON,FACTURE,NEUTRE,FAIBLE,FACTURATION,0.6,Tweet informatif ou neutre | Thème FACTURE identifié
NON,FIBRE,NEUTRE,FAIBLE,PANNE,0.6,Tweet informatif ou neutre | Thème FIBRE identifié
NON,FIBRE,NEUTRE,FAIBLE,PANNE,0.6,Tweet informatif ou neutre | Thème FIBRE identifié
NON,FIBRE,NEUTRE,FAIBLE,FACTURATION,0.6,Tweet informatif ou neutre | Thème FIBRE identifié
NON,AUTRE,NEUTRE,FAIBLE,AUTRE,0.5,Tweet informatif ou neutre
NON,SAV,NEUTRE,FAIBLE,PANNE,0.6,Tweet informatif ou neutre | Thème SAV identifié
NON,AUTRE,NEUTRE,FAIBLE,AUTRE,0.5,Tweet informatif ou neutre
NON,AUTRE,NEUTRE,FAIBLE,AUTRE,0.5,Tweet informatif ou neutre
NON,FIBRE,NEUTRE,FAIBLE,PANNE,0.6,Tweet informatif ou neutre | Thème FIBRE identifié
NON,FIBRE,NEUTRE,FAIBLE,PANNE,0.6,Tweet informatif ou neutre | Thème FIBRE identifié
NON,AUTRE,NEUTRE,MOYENNE,AUTRE,0.5,Tweet informatif ou neutre
NON,AUTRE,NEUTRE,FAIBLE,AUTRE,0.5,Tweet informatif ou neutre
NON,AUTRE,NEUTRE,FAIBLE,AUTRE,0.5,Tweet informatif ou neutre
NON,FIBRE,NEUTRE,FAIBLE,PROCESSUS_SAV,0.6,Tweet informatif ou neutre | Thème FIBRE identifié
NON,AUTRE,NEUTRE,FAIBLE,AUTRE,0.5,Tweet informatif ou neutre
NON,FACTURE,NEUTRE,FAIBLE,FACTURATION,0.6,Tweet informatif ou neutre | Thème FACTURE identifié
NON,MOBILE,POSITIF,FAIBLE,PROCESSUS_SAV,0.75,Tweet informatif ou neutre | Thème MOBILE identifié | Sentiment POSITIF détecté
NON,SAV,POSITIF,FAIBLE,PANNE,0.75,Tweet informatif ou neutre | Thème SAV identifié | Sentiment POSITIF détecté
NON,FIBRE,NEUTRE,FAIBLE,PROCESSUS_SAV,0.6,Tweet informatif ou neutre | Thème FIBRE identifié
NON,AUTRE,NEUTRE,FAIBLE,AUTRE,0.5,Tweet informatif ou neutre
NON,AUTRE,NEUTRE,FAIBLE,AUTRE,0.5,Tweet informatif ou neutre
NON,FIBRE,NEUTRE,FAIBLE,PANNE,0.6,Tweet informatif ou neutre | Thème FIBRE identifié
NON,MOBILE,POSITIF,FAIBLE,PANNE,0.7,Tweet informatif ou neutre | Thème MOBILE identifié | Sentiment POSITIF détecté
NON,TV,NEUTRE,CRITIQUE,PANNE,0.6,Tweet informatif ou neutre | Thème TV identifié | Urgence CRITIQUE détectée
NON,FIBRE,NEUTRE,FAIBLE,PANNE,0.65,Tweet informatif ou neutre | Thème FIBRE identifié
NON,AUTRE,NEUTRE,FAIBLE,AUTRE,0.5,Tweet informatif ou neutre
NON,AUTRE,NEUTRE,FAIBLE,PANNE,0.55,Tweet informatif ou neutre
NON,FIBRE,NEUTRE,MOYENNE,PANNE,0.65,Tweet informatif ou neutre | Thème FIBRE identifié
NON,AUTRE,NEUTRE,FAIBLE,AUTRE,0.5,Tweet informatif ou neutre
NON,AUTRE,NEUTRE,FAIBLE,AUTRE,0.5,Tweet informatif ou neutre
NON,AUTRE,NEUTRE,FAIBLE,AUTRE,0.5,Tweet informatif ou neutre
NON,FIBRE,NEUTRE,MOYENNE,PANNE,0.65,Tweet informatif ou neutre | Thème FIBRE identifié
NON,FIBRE,NEUTRE,FAIBLE,PANNE,0.6,Tweet informatif ou neutre | Thème FIBRE identifié
NON,FIBRE,NEUTRE,MOYENNE,PANNE,0.6,Tweet informatif ou neutre | Thème FIBRE identifié
OUI,FIBRE,NEUTRE,ELEVEE,PANNE,0.85,Problème ou insatisfaction exprimé | Thème FIBRE identifié | Urgence ELEVEE détectée
NON,FIBRE,NEUTRE,FAIBLE,PANNE,0.6,Tweet informatif ou neutre | Thème FIBRE identifié
NON,FIBRE,NEUTRE,FAIBLE,PANNE,0.65,Tweet informatif ou neutre | Thème FIBRE identifié
NON,SAV,NEUTRE,FAIBLE,PROCESSUS_SAV,0.6,Tweet informatif ou neutre | Thème SAV identifié
NON,AUTRE,NEUTRE,FAIBLE,AUTRE,0.5,Tweet informatif ou neutre
OUI,MOBILE,NEUTRE,MOYENNE,PANNE,0.95,Problème ou insatisfaction exprimé | Thème MOBILE identifié
NON,FIBRE,NEGATIF,MOYENNE,PROCESSUS_SAV,0.7,Tweet informatif ou neutre | Thème FIBRE identifié | Sentiment NEGATIF détecté
NON,AUTRE,NEUTRE,FAIBLE,AUTRE,0.5,Tweet informatif ou neutre
NON,AUTRE,NEUTRE,FAIBLE,AUTRE,0.5,Tweet informatif ou neutre
NON,TV,NEUTRE,FAIBLE,PANNE,0.6,Tweet informatif ou neutre | Thème TV identifié
NON,TV,NEUTRE,FAIBLE,PROCESSUS_SAV,0.6,Tweet informatif ou neutre | Thème TV identifié
NON,FIBRE,NEGATIF,FAIBLE,PROCESSUS_SAV,0.7,Tweet informatif ou neutre | Thème FIBRE identifié | Sentiment NEGATIF détecté
NON,FIBRE,NEUTRE,CRITIQUE,PROCESSUS_SAV,0.6,Tweet informatif ou neutre | Thème FIBRE identifié | Urgence CRITIQUE détectée
NON,FIBRE,POSITIF,FAIBLE,PANNE,0.7,Tweet informatif ou neutre | Thème FIBRE identifié | Sentiment POSITIF détecté
NON,FIBRE,NEUTRE,FAIBLE,PANNE,0.6,Tweet informatif ou neutre | Thème FIBRE identifié
NON,AUTRE,NEUTRE,FAIBLE,AUTRE,0.5,Tweet informatif ou neutre
NON,SAV,NEUTRE,FAIBLE,PROCESSUS_SAV,0.6,Tweet informatif ou neutre | Thème SAV identifié
NON,FIBRE,NEUTRE,CRITIQUE,PANNE,0.6,Tweet informatif ou neutre | Thème FIBRE identifié | Urgence CRITIQUE détectée
NON,AUTRE,NEUTRE,FAIBLE,AUTRE,0.5,Tweet informatif ou neutre
NON,RESEAU,NEUTRE,FAIBLE,AUTRE,0.6,Tweet informatif ou neutre | Thème RESEAU identifié
NON,AUTRE,NEUTRE,FAIBLE,AUTRE,0.5,Tweet informatif ou neutre
NON,AUTRE,NEUTRE,FAIBLE,AUTRE,0.5,Tweet informatif ou neutre
NON,AUTRE,NEUTRE,FAIBLE,AUTRE,0.5,Tweet informatif ou neutre
NON,SAV,NEUTRE,FAIBLE,PROCESSUS_SAV,0.6,Tweet informatif ou neutre | Thème SAV identifié
NON,MOBILE,NEUTRE,FAIBLE,FACTURATION,0.6,Tweet informatif ou neutre | Thème MOBILE identifié
NON,AUTRE,NEUTRE,FAIBLE,AUTRE,0.5,Tweet informatif ou neutre
NON,FIBRE,NEUTRE,MOYENNE,PANNE,0.6,Tweet informatif ou neutre | Thème FIBRE identifié
NON,SAV,NEUTRE,CRITIQUE,PROCESSUS_SAV,0.65,Tweet informatif ou neutre | Thème SAV identifié | Urgence CRITIQUE détectée
OUI,FIBRE,NEUTRE,FAIBLE,PANNE,0.85,Problème ou insatisfaction exprimé | Thème FIBRE identifié
NON,FIBRE,NEUTRE,FAIBLE,PANNE,0.6,Tweet informatif ou neutre | Thème FIBRE identifié
NON,FIBRE,NEUTRE,FAIBLE,PANNE,0.6,Tweet informatif ou neutre | Thème FIBRE identifié
NON,AUTRE,NEUTRE,FAIBLE,AUTRE,0.5,Tweet informatif ou neutre
NON,AUTRE,POSITIF,MOYENNE,AUTRE,0.6,Tweet informatif ou neutre | Sentiment POSITIF détecté
NON,FACTURE,NEUTRE,FAIBLE,FACTURATION,0.6,Tweet informatif ou neutre | Thème FACTURE identifié
NON,SAV,POSITIF,FAIBLE,PROCESSUS_SAV,0.7,Tweet informatif ou neutre | Thème SAV identifié | Sentiment POSITIF détecté
NON,AUTRE,NEUTRE,FAIBLE,AUTRE,0.55,Tweet informatif ou neutre
NON,FIBRE,NEUTRE,FAIBLE,PROCESSUS_SAV,0.6,Tweet informatif ou neutre | Thème FIBRE identifié
NON,SAV,NEUTRE,MOYENNE,AUTRE,0.6,Tweet informatif ou neutre | Thème SAV identifié
NON,MOBILE,NEUTRE,FAIBLE,PANNE,0.6,Tweet informatif ou neutre | Thème MOBILE identifié
NON,SAV,NEUTRE,FAIBLE,AUTRE,0.6,Tweet informatif ou neutre | Thème SAV identifié
NON,AUTRE,NEUTRE,FAIBLE,AUTRE,0.5,Tweet informatif ou neutre
NON,FIBRE,NEUTRE,FAIBLE,PANNE,0.6,Tweet informatif ou neutre | Thème FIBRE identifié
NON,FIBRE,NEUTRE,FAIBLE,PANNE,0.65,Tweet informatif ou neutre | Thème FIBRE identifié
NON,FIBRE,NEGATIF,FAIBLE,PANNE,0.7,Tweet informatif ou neutre | Thème FIBRE identifié | Sentiment NEGATIF détecté
NON,FIBRE,NEUTRE,FAIBLE,PANNE,0.65,Tweet informatif ou neutre | Thème FIBRE identifié
NON,AUTRE,NEUTRE,FAIBLE,AUTRE,0.5,Tweet informatif ou neutre
NON,AUTRE,POSITIF,FAIBLE,AUTRE,0.65,Tweet informatif ou neutre | Sentiment POSITIF détecté
NON,SAV,NEUTRE,FAIBLE,PROCESSUS_SAV,0.6,Tweet informatif ou neutre | Thème SAV identifié
NON,AUTRE,NEUTRE,FAIBLE,AUTRE,0.5,Tweet informatif ou neutre
NON,RESEAU,NEUTRE,ELEVEE,AUTRE,0.6,Tweet informatif ou neutre | Thème RESEAU identifié | Urgence ELEVEE détectée
NON,SAV,NEUTRE,FAIBLE,AUTRE,0.6,Tweet informatif ou neutre | Thème SAV identifié
NON,AUTRE,NEUTRE,FAIBLE,AUTRE,0.5,Tweet informatif ou neutre
NON,FIBRE,NEUTRE,ELEVEE,PROCESSUS_SAV,0.6,Tweet informatif ou neutre | Thème FIBRE identifié | Urgence ELEVEE détectée
NON,TV,POSITIF,FAIBLE,PANNE,0.7,Tweet informatif ou neutre | Thème TV identifié | Sentiment POSITIF détecté
NON,FACTURE,NEUTRE,FAIBLE,AUTRE,0.6,Tweet informatif ou neutre | Thème FACTURE identifié
NON,FIBRE,NEUTRE,FAIBLE,PANNE,0.6,Tweet informatif ou neutre | Thème FIBRE identifié
