tweet_id,author,text,date,url,sentiment,category,priority,is_urgent,needs_response,estimated_resolution_time
38,nephthys,ça fonctionne super bien la fibre free ce soir... franchement c'est abusé. déjà l'autre soir la tv de free (oqee) était carrément indisponible ! ftth fibre free var,2024-02-27 20:11:07+00:00,https://twitter.com/nephthys/status/1762571081402011959,positive,autre,basse,False,True,15
1827,DieutreCeline,"honteux!nhabitante juilly, ça fait 1 semaine que je suis sans réseau ni tv, on les appelle, seule réponse : faut patienter car nous n'avons aucune solution.nje me déplace en boutique,0 solution à part qu'on pourra me rappeler à partir d'aujourd'hui 9h! ntjrs aucun rappel !",2024-10-10 07:39:47+00:00,https://twitter.com/DieutreCeline/status/1844281659354660949,neutral,réseau,basse,False,True,45
2102,SudTer,c'est n'importe quoi. ça fait plusieurs heures que c'est comme ça en plus j' en ai besoin pour des raisons professionnelles.c'est bizarre comment les développeurs de free travaillent et casse la prod sans faire un minimum de test.c'est pas compliqué.,2024-10-23 10:30:02+00:00,https://twitter.com/SudTer/status/1849035546598736102,neutral,question,moyenne,False,True,15
1693,Zanow2,"problème sur leur infra, tous les abonnés sont touchés à première vue, ping au top sur leur serveur dns : 212.27.40.240, j'ai 12ms dessus, toutes les autres destinations mini 250ms et un débit aux fraises parcontre",2024-10-03 20:41:08+00:00,https://twitter.com/Zanow2/status/1841941576173408712,negative,autre,haute,True,True,45
1190,emelle_pe,"t'as plus de thunes, tu veux baisser ton offre : bam on te facture 49€.nça ne donne qu'une seule envie, partir...nn vous avez des offres fibres sympas en ce moment ? on a aussi 4 mobiles.nnmerci",2024-09-10 17:43:01+00:00,https://twitter.com/emelle_pe/status/1833561833048801497,positive,facturation,basse,False,True,15
1360,Freebox,"la messagerie privée x n’est plus disponible, et nous en sommes désolés orlanemltnnretrouvez-nous dès à présent sur messenger &gt; nou via",2024-09-19 07:24:27+00:00,https://twitter.com/Freebox/status/1836667655018693108,neutral,autre,basse,False,True,15
1180,Freebox,"la messagerie privée x n’est plus disponible, et nous en sommes désolés srk2492nnretrouvez-nous dès à présent sur messenger &gt; nou via",2024-09-10 10:11:08+00:00,https://twitter.com/Freebox/status/1833448112263668015,neutral,autre,basse,False,True,15
2719,Graaaalexdrinho,bonsoir es ce que c’est normal ce débit avec la fibre de chez ? nje sais que vous faite la fibre aussi dans ma ville vous pouvez me fournir plus ? par ce que chez eux obligé d’appeler tout les mois par ce que je passe de 350/400 mega à ça,2024-12-02 19:07:27+00:00,https://twitter.com/Graaaalexdrinho/status/1863661274359275586,neutral,question,basse,False,True,7
1177,Freebox,"la messagerie privée x n’est plus disponible, et nous en sommes désolés khloe96009175. nnretrouvez-moi dès à présent sur messengern sommes également disponibles via d'autres canauxn – free",2024-09-10 08:46:52+00:00,https://twitter.com/Freebox/status/1833426906688975045,neutral,autre,basse,False,True,15
1988,kokoonbynodeus,bravo et surtout merci !,2024-10-18 05:41:20+00:00,https://twitter.com/kokoonbynodeus/status/1847150953641787780,positive,compliment,basse,False,False,2
2608,mathildecmra,"j’avais pas le choix que d’aller chez pour mon emménagement et c’est le pire. nnj’ai pas internet depuis 2 semaines, et je suis en tt 3 fois dans la semaine… nnfranchement 0 ngo voir pour changer d’opérateur",2024-11-25 11:23:07+00:00,https://twitter.com/mathildecmra/status/1861007707571900526,neutral,autre,basse,False,True,15
