tweet_id,author,text,date,url,text_cleaned,sentiment,catégorie,priority,urgent,besoin_reponse,estimation_resolution,réclamations
800,Twibault,oui orange c'est des voleurs et c'est pour cette raison que je viens de les quitter pour il y'a 15 jours mais ça démarre mal... sur je suis en h+ et ma vient de tomber en panne on m'annonce un technicien dans 7 jours ! je fais comment en télétravail ?,2024-08-23 12:38:06+00:00,https://twitter.com/Twibault/status/1826962117305434554,oui orange c'est des voleurs et c'est pour cette raison que je viens de les quitter pour il y'a 15 jours mais ca demarre mal... sur je suis en h+ et ma vient de tomber en panne on m'annonce un technicien dans 7 jours ! je fais comment en teletravail ?,negatif,fibre,haute,True,True,2,oui
3573,Shnuxi,"comment, en 2025, peut-on encore avoir des problèmes de wi-fi !? sérieusement, freebox , faites quelque chose, là, ce n’est plus possible!!",2025-05-31 17:47:13+00:00,https://twitter.com/Shnuxi/status/1928870897693147373,"comment, en 2025, peut-on encore avoir des problemes de wi-fi !? serieusement, freebox , faites quelque chose, la, ce n'est plus possible!!",neutre,fibre,basse,False,False,72,non
2654,BlackPowder44,vraiment de la merde free perte de connexion tous les jour pourtant en fibre ces pas cher m1is ces de la merde go résiliation,2024-11-27 11:50:28+00:00,https://twitter.com/BlackPowder44/status/1861739364880924813,vraiment de la merde free perte de connexion tous les jour pourtant en fibre ces pas cher m1is ces de la merde go resiliation,neutre,réseau,basse,False,False,72,non
3043,Freebox,"bonjour,nnretrouvez-nous dès à présent sur messenger si la situation est toujours d'actualité :n▶️ sommes également disponibles via d'autres canaux :n▶️ - free",2025-03-06 11:28:27+00:00,https://twitter.com/Freebox/status/1897610221570154991,"bonjour,nnretrouvez-nous des a present sur messenger si la situation est toujours d'actualite :n play_button sommes egalement disponibles via d'autres canaux :n play_button - free",positif,autre,basse,False,False,72,non
557,collinsimmer,"par contre vos box internet qui passe plus de temps à bugger que moi a dormir, ça va 2 minutes",2024-08-08 17:27:58+00:00,https://twitter.com/collinsimmer/status/1821599247638151671,"par contre vos box internet qui passe plus de temps a bugger que moi a dormir, ca va 2 minutes",negatif,fibre,haute,True,True,2,non
1880,Chris06839490,"mise à jour de la freebox révolution... ça rame comme pas possible, naviguer dans la liste des chaînes prend plusieurs secondes... juste après la mise à jour du firmware...",2024-10-13 17:22:32+00:00,https://twitter.com/Chris06839490/status/1845515478279540765,"mise a jour de la freebox revolution... ca rame comme pas possible, naviguer dans la liste des chaines prend plusieurs secondes... juste apres la mise a jour du firmware...",neutre,fibre,basse,False,False,72,non
486,JacquesGar72423,c'est normal que depuis dimanche soir ma box pop et bloqué étape 2 et que quand j' appel le 3244 personnes ne me répond,2024-08-06 15:24:11+00:00,https://twitter.com/JacquesGar72423/status/1820843317015245169,c'est normal que depuis dimanche soir ma box pop et bloque etape 2 et que quand j' appel le 3244 personnes ne me repond,neutre,fibre,basse,False,False,72,non
1979,free,je dirais même que tu mérites 350 go.,2024-10-17 15:18:45+00:00,https://twitter.com/free/status/1846933875731087526,je dirais meme que tu merites 350 go.,neutre,autre,basse,False,False,72,non
1676,Condescendant13,la bbox ultym waouh je pleure de joie c’est incroyable je joue à fifa sans beuguer merci je suis amoureux de vous ️️️️,2024-10-03 11:40:41+00:00,https://twitter.com/Condescendant13/status/1841805569629303169,la bbox ultym waouh je pleure de joie c'est incroyable je joue a fifa sans beuguer merci je suis amoureux de vous,positif,fibre,basse,False,False,72,non
618,mathieupassenau,tu viens récupérer tes merdes quand ? ou je te les ramène en boutique ?,2024-08-13 07:30:34+00:00,https://twitter.com/mathieupassenau/status/1823260843922071883,tu viens recuperer tes merdes quand ? ou je te les ramene en boutique ?,neutre,autre,basse,False,False,72,non
