tweet_id,author,text,date,retweet_count,favorite_count
1,@user1,"Problème avec mon forfait Free Mobile, impossible de recevoir des SMS depuis ce matin. Pouvez-vous m'aider ?",2024-01-15 09:30:00,2,5
2,@user2,"Excellent service client Free Mobile ! Problème résolu en 10 minutes au téléphone. Merci !",2024-01-15 10:15:00,8,25
3,@user3,"La couverture réseau Free Mobile est vraiment décevante dans ma région. Coupures fréquentes.",2024-01-15 11:00:00,15,42
4,@user4,"Très satisfait de mon abonnement Free Mobile. Rapport qualité-prix imbattable !",2024-01-15 11:30:00,5,18
5,@user5,"Bug sur l'application Free Mobile, impossible de consulter ma consommation. À corriger rapidement.",2024-01-15 12:00:00,3,7
6,@user6,"Merci Free Mobile pour la rapidité de résolution de mon problème de facturation. Service au top !",2024-01-15 12:45:00,12,35
7,@user7,"Déçu par la qualité du réseau Free Mobile en déplacement. Beaucoup de zones blanches.",2024-01-15 13:15:00,20,55
8,@user8,"Free Mobile : tarifs attractifs mais service client parfois difficile à joindre.",2024-01-15 14:00:00,7,22
9,@user9,"Problème technique résolu rapidement par l'équipe Free Mobile. Bravo pour l'efficacité !",2024-01-15 14:30:00,4,16
10,@user10,"Application Free Mobile très pratique pour gérer son compte. Interface claire et intuitive.",2024-01-15 15:00:00,6,28
11,@user11,"Coupure réseau Free Mobile depuis 2h dans le 15ème arrondissement. Quand sera-ce réparé ?",2024-01-15 15:30:00,25,68
12,@user12,"Excellent rapport qualité-prix avec Free Mobile. Recommande vivement !",2024-01-15 16:00:00,9,31
13,@user13,"Problème de réception Free Mobile en intérieur. Signal très faible dans les bâtiments.",2024-01-15 16:30:00,18,45
14,@user14,"Service client Free Mobile réactif et professionnel. Problème résolu en une seule conversation.",2024-01-15 17:00:00,3,14
15,@user15,"Free Mobile : bon réseau en ville mais perfectible en zone rurale.",2024-01-15 17:30:00,11,29
16,@user16,"Facture Free Mobile erronée ce mois-ci. En attente de correction depuis une semaine.",2024-01-15 18:00:00,8,19
17,@user17,"Très content de mon passage chez Free Mobile. Économies importantes sur ma facture !",2024-01-15 18:30:00,13,38
18,@user18,"Problème de portabilité du numéro vers Free Mobile. Procédure plus longue que prévu.",2024-01-15 19:00:00,5,12
19,@user19,"Free Mobile : interface web claire et gestion de compte simplifiée. Très pratique !",2024-01-15 19:30:00,7,24
20,@user20,"Débit internet Free Mobile correct en 4G mais perfectible en 5G dans ma zone.",2024-01-15 20:00:00,14,33
